;meta[language=cz]
; id      |key(hex)|key(str)| text
;
; comment lines use ; as first character
; all comment lines (except the two line header) will be ignored
;
2112923001|        |panel_Mods|Mods
2112923002|        |panel_acs_name|Advanced Combat System
2112923003|        |panel_acs_main_settings|Main Settings
2112923004|        |preset_Mods_acs_name_acs_main_settings|ACS: Main Settings
2112923005|        |preset_Mods_combat_acs_name_acs_main_settings|ACS: Main Settings
2112923006|        |preset_Mods_gameplay_acs_name_acs_main_settings|ACS: Main Settings
2112923007|        |preset_Mods_miscellaneous_acs_name_acs_main_settings|ACS: Main Settings
2112923008|        |preset_value_armiger_mode|Armiger Mode
2112923009|        |preset_value_focus_mode|Focus Mode
2112923010|        |preset_value_hybrid_mode|Hybrid Mode
2112923011|        |preset_value_equip_mode|Equipment Mode
2112923012|        |option_acs_mod_enabled|<font color="#00ff67">Mod Enabled</font>
2112923013|        |option_acs_weapon_mode|ACS Weapon Mode
2112923014|        |preset_value_acs_armiger_mode|Armiger Mode
2112923015|        |preset_value_acs_focus_mode|Focus Mode
2112923016|        |preset_value_acs_hybrid_mode|Hybridmodus
2112923017|        |preset_value_acs_equip_mode|Equipment Mode
2112923018|        |option_acs_fist_mode|Fist Mode
2112923019|        |preset_value_acs_fist|Normal Fists
2112923020|        |preset_value_acs_vamp_claws|Vampire Claws
2112923021|        |preset_value_acs_aard_fist|Shockwave Fists
2112923022|        |option_acs_target_mode|Targeting Mode
2112923023|        |preset_value_acs_auto_target|Auto-Targeting
2112923324|        |preset_value_acs_auto_target_closest_target|Auto-Targeting: Closest Enemy
2112923025|        |preset_value_acs_manual_target|Manual Targeting
2112923026|        |option_acs_combo_mode|Combo Chain Mode
2112923027|        |preset_value_acs_combo_mode_sequential|Sequential
2112923028|        |preset_value_acs_combo_mode_random|Randomized/Distance-based
2112923029|        |option_acs_stamina_block_action|Minimum Stamina Requirement Enabled
2112923030|        |option_acs_on_hit_effects|Elemental Combo System Enabled
2112923031|        |option_acs_elemental_rend|Elemental Rend Enabled
2112923032|        |option_acs_hide_sword_sheathes|Hide All Weapons On Back For Armiger, Focus, and Hybrid Mode
2112923033|        |option_acs_experimental_dismemberment_enabled|Experimental Dismemberment Enabled
2112923034|        |option_acs_sword_walk_enabled|Alternate Sword-Walk Enabled (Beware: Causes Guards to Twitch)
2112923035|        |option_acs_passive_taunt_enabled|Passive Taunt Enabled
2112923036|        |option_acs_auto_finisher_enabled|Auto-Finisher Enabled
2112923037|        |option_acs_vampire_sound_effects|Vampire Voice SFX Enabled
2112923038|        |option_acs_player_scale|Set Player Size (1 = Default)
2112923039|        |option_acs_shadows_spawn_chances_normal|Forest God Shadows Spawning Chance
2112923040|        |option_acs_init|Advanced Combat System Initialized
2112923041|        |option_acs_size_init|Mod Initialized
2112923042|        |panel_acs_armiger_mode_settings|Armiger Mode Settings
2112923043|        |preset_Mods_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2112923044|        |preset_Mods_combat_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2112923045|        |preset_Mods_gameplay_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2112923046|        |preset_Mods_miscellaneous_acs_name_acs_armiger_mode_settings|ACS: Armiger Mode
2112923047|        |preset_value_acs_armiger_mode_settings_default|Default
2112923048|        |option_acs_armiger_mode_weapon_type|Armiger Mode Weapon Type
2112923049|        |preset_value_acs_armiger_evolving_weapons|Evolving Weapons
2112923040|        |preset_value_acs_armiger_static_weapons|Static Weapons
